product_name,brand,category,price,size,love_count,rating,reviews_count,category_1,category_2,category_3,size_oz,size_mL,size_g
Blu Mediterraneo MINIATURE Set,Acqua Di Parma,Fragrance/Value & Gift Sets/Perfume Gift Sets,63.0,5 x 0.16oz/5mL,2603,4.0,4,Fragrance,Value & Gift Sets,Perfume Gift Sets,,,
Colonia,Acqua Di Parma,Fragrance/Men/Cologne,63.0,0.7 oz/ 20 mL,2537,4.3067,75,Fragrance,Men,Cologne,0.7,20,
Rosa Nobile,Acqua Di Parma,Fragrance/Women/Perfume,68.0,3.4 oz/ 101 mL,4582,4.5652,69,Fragrance,Women,Perfume,3.4,101,
Fico di Amalfi,Acqua Di Parma,Fragrance/Women/Perfume,64.0,5 oz/ 148 mL,2472,4.5714,70,Fragrance,Women,Perfume,5,148,
Mirto di Panarea,Acqua Di Parma,Fragrance/Women/Perfume,64.0,2.5 oz/ 74 mL,2624,4.6364,22,Fragrance,Women,Perfume,2.5,74,
Colonia Miniature Set,Acqua Di Parma,Fragrance/Value & Gift Sets/Perfume Gift Sets,69.0,5 x 0.16oz/5mL,781,3.5,2,Fragrance,Value & Gift Sets,Perfume Gift Sets,,,
Colonia Pura,Acqua Di Parma,Fragrance/Women/Perfume,114.0,1.7 oz/ 50 mL,371,4.5,4,Fragrance,Women,Perfume,1.7,50,
Le Nobili Collection Set,Acqua Di Parma,Fragrance/Value & Gift Sets/Perfume Gift Sets,68.0,3 x 0.51 oz/ 15 mL,1366,4.1818,11,Fragrance,Value & Gift Sets,Perfume Gift Sets,,,
Colonia Essenza,Acqua Di Parma,Fragrance/Men/Cologne,115.0,1.7 oz/ 50 mL,674,4.7692,13,Fragrance,Men,Cologne,1.7,50,
Oud Eau de Parfum,Acqua Di Parma,Fragrance/Value & Gift Sets/Perfume Gift Sets,275.0,3.4 oz/ 101 mL,739,4.2778,18,Fragrance,Value & Gift Sets,Perfume Gift Sets,3.4,101,
Blu Mediterraneo Arancia di Capri Gift Set,Acqua Di Parma,Fragrance/Value & Gift Sets/Perfume Gift Sets,113.0,na,188,0.0,0,Fragrance,Value & Gift Sets,Perfume Gift Sets,,,
Mandorlo di Sicilia,Acqua Di Parma,Fragrance/Women/Perfume,64.0,2.5 oz/ 74 mL,2832,4.6364,44,Fragrance,Women,Perfume,2.5,74,
Mediterranean Honeysuckle,AERIN,Fragrance/Women/Perfume,30.0,1.7 oz/ 50 mL,7711,4.2135,89,Fragrance,Women,Perfume,1.7,50,
Amber Musk,AERIN,Fragrance/Women/Perfume,30.0,1.7 oz/ 50 mL,5207,4.3289,76,Fragrance,Women,Perfume,1.7,50,
Lilac Path,AERIN,Fragrance/Women/Perfume,130.0,1.7 oz/ 50 mL,3526,4.3509,57,Fragrance,Women,Perfume,1.7,50,
Rose De Grasse,AERIN,Fragrance/Women/Perfume,235.0,1.7 oz/ 50 mL,1447,4.8,10,Fragrance,Women,Perfume,1.7,50,
Ikat Jasmine,AERIN,Fragrance/Women/Perfume,130.0,3.4 oz/ 101 mL,4469,4.4902,51,Fragrance,Women,Perfume,3.4,101,
Hibiscus Palm,AERIN,Fragrance/Women/Perfume,30.0,1.7 oz/ 50 mL,4082,4.3684,38,Fragrance,Women,Perfume,1.7,50,
Radiant Floral Rollerball Set,AERIN,Fragrance/Value & Gift Sets/Perfume Gift Sets,50.0,na,239,5.0,1,Fragrance,Value & Gift Sets,Perfume Gift Sets,,,
Rose Lip Conditioner,AERIN,Makeup/Lip/Lip Balm & Treatment,30.0,0.34 oz/ 10 mL,16006,4.3473,357,Makeup,Lip,Lip Balm & Treatment,0.34,10,
Mediterranean Honeysuckle Rollerball,AERIN,Fragrance/Women/Rollerballs & Travel Size,30.0,0.27 oz,5503,4.3871,31,Fragrance,Women,Rollerballs & Travel Size,0.27,,
Waterlily Sun,AERIN,Fragrance/Women/Perfume,130.0,1.7 oz / 50 mL,3693,4.3556,45,Fragrance,Women,Perfume,1.7,50,
Aegea Blossom Eau de Parfum,AERIN,Fragrance/Women/Perfume,30.0,1.7oz/50mL,942,4.3333,12,Fragrance,Women,Perfume,,,
Tangier Vanille,AERIN,Fragrance/Women/Perfume,130.0,1.7 oz/ 50 mL,1376,3.6364,33,Fragrance,Women,Perfume,1.7,50,
Rose Quartz Crystal Gemstone Eyeshadow Palette,Aether Beauty,Makeup/Eye/Eye Palettes,58.0,na,6759,4.7778,90,Makeup,Eye,Eye Palettes,,,
Amethyst Crystal Gemstone Eyeshadow Palette,Aether Beauty,Makeup/Eye/Eye Palettes,58.0,na,1453,4.9615,26,Makeup,Eye,Eye Palettes,,,
Solstice Eyeshadow Palette,Aether Beauty,Makeup/Eye/Eye Palettes,58.0,na,3767,4.9194,62,Makeup,Eye,Eye Palettes,,,
Crystal Grid Gemstone Eyeshadow Palette,Aether Beauty,Makeup/Eye/Eye Palettes,58.0,na,3125,4.9565,46,Makeup,Eye,Eye Palettes,,,
Secrets of Algae Kit,Algenist,Skincare/Value & Gift Sets,115.0,na,8424,4.5882,17,Skincare,Value & Gift Sets,no info,,,
GENIUS Liquid Collagen,Algenist,Skincare/Treatments/Face Serums,115.0,1 oz/ 30 mL,38514,3.9984,620,Skincare,Treatments,Face Serums,1,30,
GENIUS Sleeping Collagen,Algenist,Skincare/Moisturizers/Moisturizers,98.0,2 oz/ 60 mL,14524,4.5802,1153,Skincare,Moisturizers,Moisturizers,2,60,
Complete Eye Renewal Balm,Algenist,Skincare/Eye Care/Eye Creams & Treatments,68.0,0.5 oz/ 15 mL,26690,3.9534,859,Skincare,Eye Care,Eye Creams & Treatments,0.5,15,
GENIUS Ultimate Anti-Aging Cream,Algenist,Skincare/Moisturizers/Moisturizers,75.0,2 oz/ 60 mL,15649,4.2795,458,Skincare,Moisturizers,Moisturizers,2,60,
Plump & Pout Duo,Algenist,Skincare/Value & Gift Sets,40.0,na,4951,3.7273,11,Skincare,Value & Gift Sets,no info,,,
GENIUS Liquid Collagen Lip,Algenist,Skincare/Lip Treatments/Lip Balms & Treatments,35.0,0.34 oz/ 10 mL,30103,3.9412,442,Skincare,Lip Treatments,Lip Balms & Treatments,0.34,10,
GENIUS Collagen Calming Relief,Algenist,Skincare/Moisturizers/Moisturizers,58.0,1.35 oz/ 40 mL,853,4.8,15,Skincare,Moisturizers,Moisturizers,1.35,40,
Complete Eye Renewal Balm Duo,Algenist,Skincare/Value & Gift Sets,68.0,na,545,0.0,0,Skincare,Value & Gift Sets,no info,,,
Pure GENIUS Collection Kit,Algenist,Skincare/Value & Gift Sets,80.0,na,7787,3.84,50,Skincare,Value & Gift Sets,no info,,,
Overnight Restorative Cream,Algenist,Skincare/Moisturizers/Moisturizers,94.0,2 oz/ 60 mL,8665,4.4242,231,Skincare,Moisturizers,Moisturizers,2,60,
ELEVATE Firming & Lifting Neck Cream,Algenist,Skincare/Moisturizers/Decollete & Neck Creams,84.0,2 oz/ 60 mL,1070,4.0,2,Skincare,Moisturizers,Decollete & Neck Creams,2,60,
Liquid Gold Exfoliating Treatment,Alpha-H,Skincare/Treatments/Face Serums,20.0,3.38 oz/ 100 mL,5867,4.6296,629,Skincare,Treatments,Face Serums,3.38,100,
Vitamin B Serum,Alpha-H,Skincare/Treatments/Face Serums,70.0,0.85 oz/ 25 mL,1003,5.0,4,Skincare,Treatments,Face Serums,0.85,25,
Beauty Sleep Power Peel,Alpha-H,Skincare/Treatments/Facial Peels,129.0,1.69 oz/ 50 mL,1126,5.0,3,Skincare,Treatments,Facial Peels,1.69,50,
Micro Cleanse Super Scrub,Alpha-H,Skincare/Cleansers/Exfoliators,50.0,3.38 oz/ 100 mL,418,5.0,1,Skincare,Cleansers,Exfoliators,3.38,100,
Liquid Gold Mini,Alpha-H,Skincare/Mini Size,20.0,1 oz/ 30 mL,3675,3.7333,15,Skincare,Mini Size,no info,1,30,
Essential Hydration Cream,Alpha-H,Skincare/Moisturizers/Moisturizers,52.0,1.69 oz/ 50 mL,378,5.0,5,Skincare,Moisturizers,Moisturizers,1.69,50,
Liquid Gold Ultimate Perfecting Mask,Alpha-H,Skincare/Masks/Face Masks,75.0,1.69 oz/ 50 mL,572,4.3333,6,Skincare,Masks,Face Masks,1.69,50,
Liquid Gold Firming Eye Cream,Alpha-H,Skincare/Eye Care/Eye Creams & Treatments,99.0,0.51 oz/ 15 mL,534,3.7778,9,Skincare,Eye Care,Eye Creams & Treatments,0.51,15,
Vitamin A Serum,Alpha-H,Skincare/Treatments/Face Serums,70.0,0.85 oz/ 25 mL,807,5.0,3,Skincare,Treatments,Face Serums,0.85,25,
Triple Action Cleanser,Alpha-H,Skincare/Cleansers/Face Wash & Cleansers,44.0,6.25 oz/ 185 mL,342,4.6667,3,Skincare,Cleansers,Face Wash & Cleansers,6.25,185,
Balancing Cleanser,Alpha-H,Skincare/Cleansers/Face Wash & Cleansers,44.0,6.25 oz/ 185 mL,349,4.8,10,Skincare,Cleansers,Face Wash & Cleansers,6.25,185,
Instant Facial,Alpha-H,Skincare/Treatments/Face Serums,62.0,3.38 oz/ 100 mL,402,5.0,2,Skincare,Treatments,Face Serums,3.38,100,
CAVIAR Anti-Aging® Replenishing Moisture Shampoo,ALTERNA Haircare,Hair/Shampoo & Conditioner/Shampoo,10.0,16.5 oz/ 488 mL,25778,4.2637,732,Hair,Shampoo & Conditioner,Shampoo,6.5,488,
CAVIAR Anti-Aging® Replenishing Moisture Conditioner,ALTERNA Haircare,Hair/Shampoo & Conditioner/Conditioner,10.0,16.5 oz/ 488 mL,24434,4.3743,537,Hair,Shampoo & Conditioner,Conditioner,6.5,488,
Caviar Anti-Aging® Restructuring Bond Repair Duo,ALTERNA Haircare,Hair/Value & Gift Sets,57.0,na,903,4.0,8,Hair,Value & Gift Sets,no info,,,
CAVIAR Anti-Aging® Replenishing Moisture CC Cream,ALTERNA Haircare,Hair/Hair Styling & Treatments/Hair Styling Products,42.0,5.1 oz/ 150 mL,54465,4.0372,1584,Hair,Hair Styling & Treatments,Hair Styling Products,5.1,150,
CAVIAR Anti-Aging® Clinical Densifying Leave-In Root Treatment,ALTERNA Haircare,Hair/Hair Styling & Treatments/Scalp & Hair Treatments,38.0,4.2 oz/ 125 mL,14677,3.8647,170,Hair,Hair Styling & Treatments,Scalp & Hair Treatments,4.2,125,
CAVIAR Anti-Aging® Restructuring Bond Repair Conditioner,ALTERNA Haircare,Hair/Shampoo & Conditioner/Conditioner,34.0,8.5 oz/ 250 mL,1760,4.1798,89,Hair,Shampoo & Conditioner,Conditioner,8.5,250,
CAVIAR Anti-Aging® Clinical Densifying Shampoo,ALTERNA Haircare,Hair/Shampoo & Conditioner/Shampoo,34.0,8.5 oz/ 250 mL,6629,4.2657,143,Hair,Shampoo & Conditioner,Shampoo,8.5,250,
CAVIAR Anti-Aging® Restructuring Bond Repair Leave-In Heat Protection Spray,ALTERNA Haircare,Hair/Hair Styling & Treatments/Hair Styling Products,32.0,4.2 oz/ 125 mL,4731,4.2887,97,Hair,Hair Styling & Treatments,Hair Styling Products,4.2,125,
CAVIAR Anti-Aging® Multiplying Volume Styling Mist,ALTERNA Haircare,Hair/Hair Styling & Treatments/Hair Styling Products,30.0,4.8 oz/ 142 mL,13684,4.2822,365,Hair,Hair Styling & Treatments,Hair Styling Products,4.8,142,
CAVIAR Anti-Aging® Replenishing Moisture Priming Leave-In Conditioner,ALTERNA Haircare,Hair/Shampoo & Conditioner/Conditioner,32.0,5 oz/ 147 mL,1633,4.6304,184,Hair,Shampoo & Conditioner,Conditioner,5,147,
CAVIAR Anti-Aging® Restructuring Bond Repair Shampoo,ALTERNA Haircare,Hair/Shampoo & Conditioner/Shampoo,34.0,8.5 oz/ 250 mL,1862,4.1489,94,Hair,Shampoo & Conditioner,Shampoo,8.5,250,
CAVIAR Anti-Aging® Multiplying Volume Shampoo,ALTERNA Haircare,Hair/Shampoo & Conditioner/Shampoo,34.0,8.5 oz/ 251 mL,3575,4.0171,117,Hair,Shampoo & Conditioner,Shampoo,8.5,251,
Polished Perfection Mini Straightening Brush,amika,Hair/Hair Tools/Hair Straighteners & Flat Irons,28.0,na,5639,3.4146,41,Hair,Hair Tools,Hair Straighteners & Flat Irons,,,
