category,product_name,brand,price,Product_Id,size,item_num,love_count,rating,reviews_count,link
Fragrance/Value & Gift Sets/Perfume Gift Sets,Blu Mediterraneo MINIATURE Set,Acqua Di Parma,63.0,P443401,5 x 0.16oz/5mL,2218774,2588,4,4,https://www.sephora.com/product/blu-mediterraneo-minature-set-P443401?icid2=products
Fragrance/Men/Cologne,Colonia,Acqua Di Parma,63.0,P163604,0.7 oz/ 20 mL,2044816,2528,4.3067,75,https://www.sephora.com/product/colonia-P163604?icid2=products
Fragrance/Women/Perfume,Mirto di Panarea,Acqua Di Parma,64.0,P307804,2.5 oz/ 74 mL,1417617,2622,4.6364,22,https://www.sephora.com/product/blu-mediterraneo-mirto-di-panarea-P307804?icid2=products
Fragrance/Women/Perfume,Rosa Nobile,Acqua Di Parma,68.0,P388670,3.4 oz/ 101 mL,1638832,4569,4.5652,69,https://www.sephora.com/product/rosa-nobile-P388670?icid2=products
Fragrance/Value & Gift Sets/Perfume Gift Sets,Colonia Miniature Set,Acqua Di Parma,69.0,P443400,5 x 0.16oz/5mL,2218766,779,3.5,2,https://www.sephora.com/product/colonia-miniature-set-P443400?icid2=products
Fragrance/Women/Perfume,Fico di Amalfi,Acqua Di Parma,64.0,P307801,5 oz/ 148 mL,1417609,2469,4.5714,70,https://www.sephora.com/product/blu-mediterraneo-fico-di-amalfi-P307801?icid2=products
Fragrance/Men/Cologne,Colonia Essenza,Acqua Di Parma,115.0,P269110,1.7 oz/ 50 mL,1284462,672,4.7692,13,https://www.sephora.com/product/colonia-essenza-P269110?icid2=products
Fragrance/Value & Gift Sets/Perfume Gift Sets,Blu Mediterraneo Fico di Amalfi Gift Set,Acqua Di Parma,113.0,P450815,na,2295210,187,na,na,https://www.sephora.com/product/blu-mediterraneo-fico-di-amalfi-gift-set-P450815?icid2=products
Fragrance/Value & Gift Sets/Perfume Gift Sets,Le Nobili Collection Set,Acqua Di Parma,68.0,P431439,3 x 0.51 oz/ 15 mL,2044766,1363,4.1818,11,https://www.sephora.com/product/le-nobili-collection-set-P431439?icid2=products
Fragrance/Value & Gift Sets/Perfume Gift Sets,Blu Mediterraneo Arancia di Capri Gift Set,Acqua Di Parma,113.0,P450817,na,2295202,183,na,na,https://www.sephora.com/product/blu-mediterraneo-arancia-di-capri-gift-set-P450817?icid2=products
